,Dep. Variable:,average_volatility,R-squared:,0.427
0,Model:,OLS,Adj. R-squared:,0.197
1,Method:,Least Squares,F-statistic:,1.861
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.249
3,Time:,08:40:58,Log-Likelihood:,27.812
4,No. Observations:,8,AIC:,-49.62
5,Df Residuals:,5,BIC:,-49.39
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
